2;0;0;1;0;0;-10;0
0;1;0;2;0;0;-10;0
1;0;2;0;0;0;0;2.4000000000000004
1;0;2;3;0;-10;0;0
2;0;0;1;0;-10;0;0
0;0;1;0;1.1;0;0;0
2;0;1;0;0;0;0;0.20000000000000018
1;0;0;0;0;-10;0;0
2;0;1;3;0;-10;0;0
1;0;0;0;0;0;0;4.0
0;1;0;0;0;0;1.8;0
1;0;0;2;0;0;-10;0
0;0;0;1;0;-10;0;0
0;0;0;1;-0.5;0;0;0
2;0;0;1;0;0;-10;0
0;1;2;0;0.5499999999999998;0;0;0
3;1;2;0;0;0;0;-10
0;0;0;1;0.0;0;0;0
0;0;1;0;0;0;0;3.1000000000000005
1;0;0;0;0;0;0;4.0
2;0;0;1;0;0;-10;0
0;1;0;0;0;0;0;3.8000000000000003
0;1;0;2;-10;0;0;0
0;1;0;2;0;0;-10;0
1;0;0;2;0;0;-10;0
0;0;1;2;0;-10;0;0
1;0;0;2;0;-10;0;0
2;0;0;1;0;-10;0;0
0;0;1;2;-10;0;0;0
1;0;0;0;0;0;0;4.0
0;0;1;0;0;0;0;2.5000000000000004
0;0;1;2;0;-10;0;0
0;1;0;0;0;0;1.2;0
0;0;0;1;0.0;0;0;0
1;0;0;2;0;-10;0;0
0;1;2;0;0;0;0;0.7000000000000002
0;0;1;2;-10;0;0;0
1;0;0;2;0;0;-10;0
2;0;0;1;0;0;-10;0
2;0;0;1;0;-10;0;0
0;1;2;3;-10;0;0;0
0;0;0;1;0;-10;0;0
0;0;1;0;1.9;0;0;0
0;0;0;1;0.3999999999999999;0;0;0
2;0;1;0;0;0;0;0.20000000000000018
2;0;0;1;0;0;-10;0
1;0;0;0;0;-10;0;0
1;0;0;0;0;0;0;4.0
0;1;0;0;0;0;2.2;0
0;1;2;0;0;0;0;0.2999999999999998
0;1;2;3;-10;0;0;0
1;0;0;2;0;0;-10;0
2;0;1;3;0;-10;0;0
1;0;0;0;0;0;0;4.0
0;0;1;0;0;-0.3999999999999999;0;0
0;1;0;0;0;0;0;2.0
0;0;0;1;0;-10;0;0
1;0;0;2;0;0;-10;0
0;2;1;0;0;0;0;3.0999999999999996
0;0;0;1;0;0;-10;0
0;1;0;2;0;0;-10;0
0;0;0;1;0.5;0;0;0
1;0;0;2;0;-10;0;0
0;1;0;2;-10;0;0;0
0;2;1;3;-10;0;0;0
0;0;1;0;0;0;0;3.1000000000000005
0;1;0;0;0;0;1.3;0
1;0;0;0;0;-10;0;0
0;0;0;1;0;0;-10;0
1;0;0;0;0;0;0;4.0
0;1;2;0;2.15;0;0;0
0;0;0;1;0;-10;0;0
0;0;1;2;0;-10;0;0
1;0;0;2;0;0;-10;0
3;1;2;0;0;0;0;-10
0;0;1;2;-10;0;0;0
0;0;0;1;0.5;0;0;0
0;1;0;0;1.5000000000000002;0;0;0
0;0;1;0;0.3999999999999999;0;0;0
1;0;0;0;0;0;1.0;0
1;0;2;0;0;0;0;2.5999999999999996
2;0;1;0;0;0;0;0.7999999999999998
1;0;2;3;0;-10;0;0
2;0;1;3;0;-10;0;0
2;1;0;0;0;0;0;-10
0;0;0;1;-0.5;0;0;0
2;1;0;0;0;0;-10;0
2;0;0;1;0;-10;0;0
2;0;0;1;0;0;-10;0
1;0;0;0;0;0;0;4.0
0;0;1;0;0;0;0;2.5000000000000004
0;0;1;2;-10;0;0;0
1;0;0;2;0;-10;0;0
0;0;1;2;0;-10;0;0
0;1;0;0;0;0;0;2.6
0;1;0;2;0;0;-10;0
1;0;0;2;0;0;-10;0
0;0;0;1;0;0;-10;0
0;0;0;1;1.0;0;0;0
2;0;0;1;0;-10;0;0
0;1;0;2;-10;0;0;0
0;1;0;0;0;0;0;2.8000000000000003
0;0;0;1;0;-10;0;0
0;1;0;2;-10;0;0;0
1;0;0;0;0;0;0;4.1
1;0;0;2;0;-10;0;0
0;0;0;1;0.5;0;0;0
0;1;0;2;0;0;-10;0
0;0;1;0;0;0;0;3.3
0;0;1;2;0;-10;0;0
2;0;0;1;0;0;-10;0
0;0;1;2;-10;0;0;0
1;0;0;2;0;0;-10;0
0;1;0;0;0;0;0;3.0
1;0;0;0;0;-10;0;0
0;1;0;2;-10;0;0;0
0;0;0;1;0.5;0;0;0
0;0;1;0;0;0;0;3.9
0;1;0;2;0;0;-10;0
0;0;1;2;0;-10;0;0
1;0;0;0;0;0;0;4.0
2;0;0;1;0;-10;0;0
2;0;0;1;0;0;-10;0
0;0;1;2;-10;0;0;0
1;0;0;2;0;0;-10;0
0;0;1;0;0.20000000000000018;0;0;0
2;0;1;0;0;-10;0;0
2;0;1;0;0;0;0;0.8000000000000003
1;0;0;0;0;0;1.0;0
0;0;0;1;0;0;-10;0
0;1;0;0;0;0;0.7;0
0;1;2;0;0.25;0;0;0
1;0;2;0;0;0;0;1.4
0;0;0;1;0;-10;0;0
0;0;0;1;-0.5;0;0;0
1;0;2;3;0;-10;0;0
3;1;2;0;0;0;0;-10
0;0;1;0;0;0.19999999999999996;0;0
0;1;0;0;0;0;0;2.2
1;0;0;0;0;-10;0;0
0;0;0;1;0.3999999999999999;0;0;0
0;2;1;0;1.6;0;0;0
0;1;0;2;0;0;-10;0
1;0;0;0;0;0;0;4.1
1;0;0;2;0;0;-10;0
2;0;0;1;0;-10;0;0
0;1;0;2;-10;0;0;0
3;2;1;0;0;0;0;-10
2;0;0;1;0;0;-10;0
0;0;1;0;0.6999999999999997;0;0;0
0;1;0;0;0;0;0.7;0
2;0;1;0;0;-10;0;0
0;0;0;1;1.4;0;0;0
0;1;2;0;0.25;0;0;0
1;0;0;0;0;0;0.7000000000000001;0
1;0;2;0;0;-10;0;0
1;0;2;0;0;0;0;3.1999999999999997
2;0;0;1;0;0;-10;0
3;1;2;0;0;0;0;-10
2;0;0;1;0;-10;0;0
2;0;1;0;0;0;0;1.0
0;0;1;0;0;1.4;0;0
1;0;0;0;0;-10;0;0
0;0;0;1;0;-10;0;0
0;0;0;1;1.0;0;0;0
2;0;0;1;0;0;-10;0
0;2;1;0;0;0;0;1.1500000000000004
0;2;1;3;-10;0;0;0
0;1;0;0;0;0;0;4.6
1;0;0;0;0;0;-0.19999999999999996;0
0;1;0;2;-10;0;0;0
1;0;2;0;0;0;0;3.0000000000000004
0;1;0;2;0;0;-10;0
1;0;0;0;0;0;0;4.0
0;0;0;1;0.8999999999999999;0;0;0
1;0;0;2;0;-10;0;0
0;1;0;0;0;0;1.8;0
0;0;1;0;0;0;0;2.5000000000000004
2;0;0;1;0;-10;0;0
0;0;1;2;0;-10;0;0
2;0;0;1;0;0;-10;0
0;1;2;0;0;0;0;0.2999999999999998
0;0;1;2;-10;0;0;0
1;0;0;2;0;0;-10;0
0;1;2;3;-10;0;0;0
0;0;1;0;0;1.8;0;0
0;2;1;0;0;0;0;-0.7000000000000002
1;0;0;0;0;0;1.5;0
0;0;0;1;0;0;-10;0
0;1;0;0;1.0;0;0;0
1;0;2;0;0;-10;0;0
0;0;0;1;0;-10;0;0
0;0;0;1;0.5;0;0;0
2;1;0;0;0;0;0;-10
2;1;0;0;0;0;-10;0
1;0;2;0;0;0;0;2.8
0;2;1;3;-10;0;0;0
0;0;1;0;0;0;0;3.5999999999999996
0;0;0;1;-1.0;0;0;0
0;1;0;0;0;0;0;2.6
0;1;0;2;-10;0;0;0
2;0;0;1;0;-10;0;0
1;0;0;0;0;0;0.6000000000000001;0
0;0;1;2;-10;0;0;0
1;0;2;0;0;0;0;2.6000000000000005
0;1;0;2;0;0;-10;0
2;0;0;1;0;0;-10;0
0;0;1;2;0;-10;0;0
1;0;2;3;0;-10;0;0
0;0;1;0;1.4000000000000001;0;0;0
0;0;0;1;0;-10;0;0
2;0;1;0;0;-10;0;0
0;1;0;0;0;0;1.8;0
0;0;0;1;0.5;0;0;0
0;1;2;0;0.1499999999999999;0;0;0
2;0;1;0;0;0;0;-0.20000000000000018
2;0;0;1;0;0;-10;0
1;0;0;0;0;0;2.2;0
1;0;2;0;0;-10;0;0
1;0;2;0;0;0;0;1.0
3;1;2;0;0;0;0;-10
0;0;1;0;1.2000000000000002;0;0;0
1;0;0;0;0;-10;0;0
0;0;0;1;0;-10;0;0
0;1;0;0;1.5000000000000002;0;0;0
1;0;0;0;0;0;0;4.0
1;0;0;2;0;0;-10;0
2;0;1;0;0;0;0;-0.20000000000000018
0;0;0;1;0.8999999999999999;0;0;0
2;1;0;0;0;0;0;-10
2;0;0;1;0;0;-10;0
2;0;1;3;0;-10;0;0
2;1;0;0;0;0;-10;0
0;0;1;0;0;0.6000000000000001;0;0
0;0;0;1;0;0;-10;0
0;2;1;0;0;0;0;1.0
0;1;0;0;0;0;0;3.2
1;0;0;0;0;0;0.29999999999999993;0
1;0;2;0;0;-10;0;0
0;0;0;1;0.5;0;0;0
2;0;0;1;0;-10;0;0
1;0;2;0;0;0;0;2.5999999999999996
0;2;1;3;-10;0;0;0
0;1;0;2;0;0;-10;0
0;1;0;2;-10;0;0;0
1;0;0;0;0;0;0;4.0
1;0;0;2;0;0;-10;0
0;1;0;0;0;0;1.8;0
0;0;0;1;0;-10;0;0
0;1;2;0;-0.6000000000000001;0;0;0
3;1;2;0;0;0;0;-10
1;0;0;2;0;-10;0;0
0;0;0;1;0.0;0;0;0
0;0;1;0;0;1.1;0;0
0;2;1;0;0.6000000000000001;0;0;0
3;2;1;0;0;0;0;-10
2;0;0;1;0;0;-10;0
0;0;1;0;0;0;0;3.1999999999999997
1;0;0;0;0;-10;0;0
0;0;1;2;0;-10;0;0
0;1;0;0;0;0;-0.6000000000000001;0
0;0;0;1;0.5;0;0;0
0;0;1;2;-10;0;0;0
0;1;2;0;0;0;0;-0.1499999999999999
0;1;2;3;-10;0;0;0
2;0;0;1;0;0;-10;0
1;0;0;0;0;0;0;4.0
1;0;0;2;0;0;-10;0
2;0;0;1;0;-10;0;0
0;0;1;0;0;0;0;5.5
0;0;1;2;-10;0;0;0
0;0;1;2;0;-10;0;0
0;0;0;1;0;-10;0;0
0;1;0;0;0;0;-0.10000000000000009;0
1;0;0;0;0;-10;0;0
0;1;2;0;0;0;0;0.9500000000000002
1;0;0;0;0;0;0;4.0
0;0;0;1;1.0;0;0;0
2;0;0;1;0;0;-10;0
0;1;2;3;-10;0;0;0
1;0;0;2;0;0;-10;0
0;1;0;0;0.30000000000000004;0;0;0
0;0;1;0;0;0;0;3.9
0;0;1;2;-10;0;0;0
0;0;0;1;0;-10;0;0
0;0;0;1;0;0;-10;0
2;1;0;0;0;0;-10;0
1;0;0;0;0;0;0.6000000000000001;0
2;1;0;0;0;0;0;-10
0;0;0;1;0.0;0;0;0
1;0;2;0;0;-10;0;0
1;0;2;0;0;0;0;2.6
0;0;1;2;0;-10;0;0
0;0;1;0;0.5;0;0;0
1;0;0;0;0;0;0;4.0
0;0;0;1;-0.5;0;0;0
2;0;1;0;0;0;0;-0.19999999999999973
2;0;0;1;0;0;-10;0
0;1;0;0;0;0;2.8;0
2;0;1;3;0;-10;0;0
0;1;2;0;0;0;0;0.10000000000000009
2;0;0;1;0;-10;0;0
1;0;0;2;0;-10;0;0
0;1;2;3;-10;0;0;0
1;0;0;2;0;0;-10;0
1;0;0;0;0;-10;0;0
0;0;1;0;0.5;0;0;0
0;1;0;0;0.40000000000000013;0;0;0
2;0;1;0;0;0;0;-0.40000000000000036
0;0;0;1;0;0;-10;0
1;0;0;0;0;0;0;4.1
2;0;1;3;0;-10;0;0
0;0;0;1;1.2999999999999998;0;0;0
2;0;0;1;0;-10;0;0
2;1;0;0;0;0;-10;0
1;0;0;2;0;0;-10;0
2;1;0;0;0;0;0;-10
1;0;0;0;0;0;-0.19999999999999996;0
0;0;0;1;0;0;-10;0
0;0;0;1;0;-10;0;0
0;0;1;0;0.3999999999999999;0;0;0
1;0;2;0;0;-10;0;0
0;1;0;0;1.2;0;0;0
2;0;1;0;0;0;0;1.6
1;0;2;0;0;0;0;3.0
2;0;1;3;0;-10;0;0
2;1;0;0;0;0;-10;0
0;0;0;1;-0.5;0;0;0
2;1;0;0;0;0;0;-10
1;0;0;0;0;-10;0;0
1;0;0;0;0;0;0;4.0
0;0;0;1;0.5;0;0;0
1;0;0;2;0;0;-10;0
2;0;0;1;0;-10;0;0
0;0;1;0;0;0;0;5.2
0;0;1;2;0;-10;0;0
0;1;0;0;0;0;0;2.8000000000000003
0;1;0;2;0;0;-10;0
0;0;1;2;-10;0;0;0
2;0;0;1;0;0;-10;0
0;1;0;2;-10;0;0;0
1;0;0;0;0;0;0;4.1
0;0;1;0;0.5;0;0;0
1;0;0;2;0;-10;0;0
0;0;0;1;0;0;-10;0
0;1;0;0;0.6000000000000001;0;0;0
0;0;0;1;0;-10;0;0
1;0;0;2;0;0;-10;0
0;0;0;1;0.0;0;0;0
2;0;1;0;0;0;0;-1.0
2;1;0;0;0;0;-10;0
2;1;0;0;0;0;0;-10
2;0;1;3;0;-10;0;0
1;0;0;0;0;0;0;4.0
0;1;0;0;0;0;0.19999999999999996;0
0;1;2;0;0;0;0;-0.6499999999999999
0;0;0;1;0;0;-10;0
1;0;0;2;0;-10;0;0
0;1;2;3;-10;0;0;0
0;0;1;0;0;1.9;0;0
0;2;1;0;-0.25;0;0;0
0;0;0;1;0;-10;0;0
3;2;1;0;0;0;0;-10
1;0;0;2;0;0;-10;0
0;0;0;1;-0.5;0;0;0
1;0;0;0;0;0;0;4.0
0;0;1;0;0.5;0;0;0
0;0;0;1;0.0;0;0;0
2;0;0;1;0;-10;0;0
1;0;0;2;0;-10;0;0
2;0;0;1;0;0;-10;0
0;1;0;0;0;0;0;3.0
0;1;0;2;-10;0;0;0
1;0;0;2;0;0;-10;0
0;1;0;2;0;0;-10;0
2;0;1;0;0;-10;0;0
2;0;1;0;0;0;0;0.0
0;0;0;1;0;0;-10;0
0;1;0;0;0;0;2.5;0
0;1;2;0;0;0;0;1.0
0;0;1;0;0;0;0;5.2
0;0;0;1;0.5;0;0;0
1;0;0;0;0;-10;0;0
2;0;0;1;0;-10;0;0
0;0;1;2;0;-10;0;0
0;0;1;2;-10;0;0;0
1;0;0;0;0;0;0.6000000000000001;0
1;0;2;0;0;0;0;2.2
0;1;2;3;-10;0;0;0
0;0;1;0;1.1;0;0;0
2;0;1;0;0;0;0;-0.8000000000000003
0;1;0;0;0;0;0;3.1999999999999997
2;0;1;3;0;-10;0;0
0;0;0;1;0;-10;0;0
1;0;0;0;0;-10;0;0
0;1;0;2;-10;0;0;0
1;0;0;0;0;0;0;4.0
0;0;0;1;0.5;0;0;0
2;0;0;1;0;0;-10;0
0;1;0;2;0;0;-10;0
1;0;0;2;0;0;-10;0
1;0;0;0;0;0;0.6000000000000001;0
0;1;0;0;0;0;0;3.2
0;0;1;0;0;1.9;0;0
0;1;0;2;-10;0;0;0
0;0;0;1;0;0;-10;0
0;2;1;0;0;0;0;0.9500000000000002
0;0;0;1;0;-10;0;0
0;0;0;1;0.5;0;0;0
0;1;0;2;0;0;-10;0
1;0;2;0;0;0;0;2.6000000000000005
1;0;2;3;0;-10;0;0
0;2;1;3;-10;0;0;0
0;0;0;1;0;-10;0;0
1;0;0;0;0;0;0;4.0
0;0;1;0;0;0;0;4.6
0;1;0;0;0.9000000000000001;0;0;0
0;0;1;2;0;-10;0;0
0;0;0;1;0;0;-10;0
2;1;0;0;0;0;-10;0
1;0;0;2;0;0;-10;0
0;0;0;1;0.5;0;0;0
0;0;1;2;-10;0;0;0
2;1;0;0;0;0;0;-10
1;0;0;2;0;-10;0;0
1;0;0;0;0;0;0;4.0
1;0;0;2;0;0;-10;0
0;1;0;0;0;0;0;2.4000000000000004
0;1;0;2;0;0;-10;0
0;0;0;1;0;0;-10;0
0;0;1;0;0.8999999999999999;0;0;0
0;1;0;2;-10;0;0;0
2;0;1;0;0;0;0;-0.20000000000000018
0;0;0;1;-1.5;0;0;0
1;0;0;2;0;-10;0;0
2;0;1;3;0;-10;0;0
2;0;0;1;0;-10;0;0
0;0;1;0;0;-0.10000000000000009;0;0
0;1;0;0;0.19999999999999996;0;0;0
0;0;0;1;0;0;-10;0
0;2;1;0;0;0;0;1.9000000000000004
0;2;1;3;-10;0;0;0
2;1;0;0;0;0;0;-10
1;0;0;0;0;0;0;4.0
0;0;0;1;1.0;0;0;0
1;0;0;2;0;-10;0;0
2;0;0;1;0;-10;0;0
2;1;0;0;0;0;-10;0
1;0;0;2;0;0;-10;0
1;0;0;0;0;0;0.6000000000000001;0
0;0;0;1;0.5;0;0;0
2;0;0;1;0;-10;0;0
0;1;0;0;0.5999999999999999;0;0;0
2;1;0;0;0;0;-10;0
1;0;2;0;0;-10;0;0
0;0;1;0;0;0;0;2.8000000000000003
0;0;1;2;0;-10;0;0
2;1;0;0;0;0;0;-10
0;0;1;2;-10;0;0;0
2;0;0;1;0;0;-10;0
1;0;2;0;0;0;0;2.0
0;1;0;0;0;0;0;2.6
1;0;0;0;0;-10;0;0
0;1;0;2;-10;0;0;0
1;0;0;0;0;0;0.19999999999999996;0
0;0;0;1;-1.0;0;0;0
2;0;0;1;0;-10;0;0
1;0;2;0;0;0;0;2.8000000000000003
0;0;1;0;1.2000000000000002;0;0;0
0;1;0;2;0;0;-10;0
2;0;1;0;0;-10;0;0
2;0;1;0;0;0;0;-0.20000000000000018
2;0;0;1;0;0;-10;0
1;0;0;0;0;0;0.19999999999999996;0
0;0;0;1;0;0;-10;0
0;0;0;1;0;-10;0;0
0;1;0;0;0;0;3.1;0
0;0;1;0;0;1.0;0;0
0;2;1;0;1.0499999999999998;0;0;0
0;1;2;0;0;0;0;0.25
0;1;2;3;-10;0;0;0
1;0;2;0;0;0;0;2.4
1;0;2;3;0;-10;0;0
3;2;1;0;0;0;0;-10
0;0;0;1;-0.6000000000000001;0;0;0
0;0;1;0;0;1.4;0;0
1;0;0;0;0;-10;0;0
0;2;1;0;0;0;0;0.9500000000000002
0;1;0;0;-0.30000000000000004;0;0;0
0;0;0;1;0;0;-10;0
0;0;0;1;0.8999999999999999;0;0;0
2;1;0;0;0;0;0;-10
1;0;0;0;0;0;0;4.0
1;0;0;2;0;0;-10;0
2;1;0;0;0;0;-10;0
0;2;1;3;-10;0;0;0
2;0;0;1;0;-10;0;0
1;0;0;0;0;-10;0;0
0;0;0;1;0;0;-10;0
0;1;0;0;0.5;0;0;0
2;1;0;0;0;0;0;-10
2;1;0;0;0;0;-10;0
0;0;0;1;0;-10;0;0
0;0;1;0;0;0;0;4.5
1;0;0;0;0;0;0.19999999999999996;0
1;0;2;0;0;0;0;2.1999999999999997
0;0;0;1;1.4;0;0;0
0;0;1;2;0;-10;0;0
0;0;1;2;-10;0;0;0
1;0;0;0;0;-10;0;0
1;0;0;0;0;0;0;4.0
0;1;0;0;0;0;1.9;0
0;0;1;0;0;0;0;4.199999999999999
0;0;0;1;0;-10;0;0
0;0;0;1;0;0;-10;0
0;1;2;0;0;0;0;1.25
1;0;0;2;0;0;-10;0
0;0;1;2;0;-10;0;0
0;0;0;1;0.0;0;0;0
0;1;2;3;-10;0;0;0
0;0;1;2;-10;0;0;0
1;0;0;0;0;0;1.1;0
0;0;1;0;0;0;0;2.8000000000000003
0;1;0;0;0;0;0;4.2
0;0;1;2;-10;0;0;0
0;0;0;1;0;-10;0;0
1;0;2;0;0;-10;0;0
0;0;1;2;0;-10;0;0
0;0;0;1;0;0;-10;0
0;0;0;1;-1.5;0;0;0
0;1;0;2;0;0;-10;0
0;1;0;2;-10;0;0;0
1;0;2;0;0;0;0;1.8000000000000003
1;0;0;0;0;0;0;4.0
0;1;0;0;0.19999999999999996;0;0;0
0;0;0;1;0;-10;0;0
2;1;0;0;0;0;0;-10
0;0;0;1;0.8999999999999999;0;0;0
1;0;0;2;0;0;-10;0
2;0;0;1;0;0;-10;0
1;0;0;2;0;-10;0;0
0;0;1;0;0.0;0;0;0
2;1;0;0;0;0;-10;0
2;0;1;0;0;0;0;0.0
2;0;1;3;0;-10;0;0
0;0;0;1;0;0;-10;0
1;0;0;0;0;0;0;4.1
0;1;0;0;0;0;3.3;0
0;0;1;0;0;1.2;0;0
1;0;0;2;0;-10;0;0
0;1;2;0;0;0;0;1.2000000000000002
0;0;0;1;0.5;0;0;0
0;2;1;0;0;0;0;1.7000000000000002
0;1;2;3;-10;0;0;0
2;0;0;1;0;-10;0;0
1;0;0;2;0;0;-10;0
0;2;1;3;-10;0;0;0
0;0;0;1;0.5;0;0;0
0;1;0;0;0;0;0.10000000000000009;0
0;1;2;0;0;0;0;1.9500000000000002
1;0;0;0;0;-10;0;0
0;0;1;0;0;-0.5;0;0
1;0;0;0;0;0;0;3.6
2;0;0;1;0;0;-10;0
0;1;2;3;-10;0;0;0
0;2;1;0;-0.20000000000000018;0;0;0
2;0;0;1;0;-10;0;0
1;0;0;2;0;0;-10;0
3;2;1;0;0;0;0;-10
1;0;0;0;0;-10;0;0
0;1;0;0;0;0;2.1;0
0;0;1;0;0;0;0;2.8999999999999995
1;0;0;0;0;0;0.19999999999999996;0
0;1;2;0;0;0;0;-0.20000000000000018
0;0;0;1;0;0;-10;0
0;0;1;2;0;-10;0;0
0;0;0;1;-0.5;0;0;0
0;0;1;2;-10;0;0;0
0;1;2;3;-10;0;0;0
1;0;2;0;0;0;0;2.2
2;0;0;1;0;-10;0;0
1;0;0;0;0;0;0.6000000000000001;0
0;0;1;0;0;0;0;3.8
0;1;0;0;0;0;0.7;0
0;0;0;1;0;-10;0;0
0;0;0;1;0;0;-10;0
0;1;2;0;0;0;0;0.5499999999999998
1;0;2;0;0;0;0;2.6000000000000005
0;0;1;2;0;-10;0;0
0;1;2;3;-10;0;0;0
0;0;1;2;-10;0;0;0
1;0;2;3;0;-10;0;0
0;0;0;1;1.0;0;0;0
1;0;0;0;0;0;0;4.0
0;1;0;0;1.0;0;0;0
2;1;0;0;0;0;-10;0
1;0;0;2;0;0;-10;0
0;0;1;0;0;0;0;4.8
2;1;0;0;0;0;0;-10
0;0;0;1;0;0;-10;0
0;0;1;2;0;-10;0;0
0;0;0;1;-1.0;0;0;0
1;0;0;2;0;-10;0;0
0;0;1;2;-10;0;0;0
2;0;0;1;0;-10;0;0
0;0;0;1;0;0;-10;0
0;0;1;0;1.1;0;0;0
1;0;0;0;0;-10;0;0
0;1;0;0;0;0;2.6;0
1;0;0;0;0;0;0;4.0
2;0;1;0;0;0;0;0.0
2;0;1;3;0;-10;0;0
0;1;2;0;0;0;0;0.5
1;0;0;2;0;0;-10;0
0;0;0;1;0.0;0;0;0
0;1;2;3;-10;0;0;0
2;0;0;1;0;-10;0;0
0;1;0;0;0;0;0;2.8000000000000003
0;1;0;2;0;0;-10;0
1;0;0;0;0;0;0;4.0
0;0;0;1;0;0;-10;0
1;0;0;2;0;0;-10;0
0;0;1;0;0;1.9;0;0
0;1;0;2;-10;0;0;0
0;0;0;1;0;-10;0;0
0;2;1;0;0.04999999999999982;0;0;0
1;0;0;2;0;-10;0;0
0;0;0;1;1.4;0;0;0
3;2;1;0;0;0;0;-10
1;0;0;0;0;-10;0;0
0;0;0;1;0;0;-10;0
0;0;0;1;0.5;0;0;0
0;1;0;0;1.4;0;0;0
2;1;0;0;0;0;0;-10
0;0;1;0;0.3999999999999999;0;0;0
1;0;0;0;0;0;0;4.0
2;1;0;0;0;0;-10;0
2;0;0;1;0;-10;0;0
1;0;0;2;0;0;-10;0
2;0;1;0;0;-10;0;0
2;0;1;0;0;0;0;-0.6000000000000001
0;0;1;0;1.2000000000000002;0;0;0
1;0;0;0;0;0;0;4.0
1;0;0;2;0;-10;0;0
1;0;0;2;0;0;-10;0
2;0;1;0;0;-10;0;0
0;1;0;0;0.19999999999999996;0;0;0
2;1;0;0;0;0;-10;0
0;0;0;1;0;-10;0;0
2;0;1;0;0;0;0;-0.3999999999999999
2;1;0;0;0;0;0;-10
0;0;0;1;-0.5;0;0;0
2;0;0;1;0;0;-10;0
1;0;0;0;0;0;0;4.0
0;1;0;0;0;0;0.8999999999999999;0
0;0;0;1;0.5;0;0;0
0;1;2;0;-0.10000000000000009;0;0;0
3;1;2;0;0;0;0;-10
1;0;0;2;0;-10;0;0
0;0;1;0;0;0.3999999999999999;0;0
0;2;1;0;0;0;0;2.0999999999999996
1;0;0;2;0;0;-10;0
2;0;0;1;0;-10;0;0
0;2;1;3;-10;0;0;0
2;0;0;1;0;0;-10;0
1;0;0;0;0;-10;0;0
0;0;1;0;0;0.10000000000000009;0;0
0;0;0;1;1.0;0;0;0
0;1;0;0;0.9000000000000001;0;0;0
2;0;0;1;0;0;-10;0
0;2;1;0;0.6499999999999999;0;0;0
2;0;0;1;0;-10;0;0
3;2;1;0;0;0;0;-10
1;0;0;0;0;0;0;4.0
1;0;0;2;0;0;-10;0
2;1;0;0;0;0;0;-10
2;1;0;0;0;0;-10;0
1;0;0;0;0;0;0;4.0
0;0;0;1;0;0;-10;0
0;1;0;0;0;0;1.7;0
0;0;1;0;0;0.8999999999999999;0;0
0;0;0;1;0.5;0;0;0
0;1;2;0;-0.5499999999999998;0;0;0
1;0;0;2;0;-10;0;0
2;0;0;1;0;-10;0;0
1;0;0;2;0;0;-10;0
0;2;1;0;0;0;0;0.25
3;1;2;0;0;0;0;-10
0;2;1;3;-10;0;0;0
0;0;1;0;1.5;0;0;0
2;0;1;0;0;0;0;-0.20000000000000018
0;1;0;0;0;0;0;2.8000000000000003
0;1;0;2;0;0;-10;0
0;0;0;1;0.5;0;0;0
1;0;0;0;0;0;0;4.0
1;0;0;2;0;-10;0;0
2;0;1;3;0;-10;0;0
0;1;0;2;-10;0;0;0
2;0;0;1;0;-10;0;0
2;0;0;1;0;0;-10;0
1;0;0;2;0;0;-10;0
0;0;0;1;0.5;0;0;0
0;0;1;0;0;0;0;2.5000000000000004
0;0;1;2;-10;0;0;0
0;1;0;0;0;0;0;1.8
1;0;0;0;0;0;0;4.2
1;0;0;2;0;0;-10;0
0;1;0;2;0;0;-10;0
2;0;0;1;0;-10;0;0
0;1;0;2;-10;0;0;0
0;0;1;2;0;-10;0;0
2;0;0;1;0;0;-10;0
1;0;0;2;0;-10;0;0
0;0;1;0;0.8999999999999999;0;0;0
1;0;0;0;0;-10;0;0
2;0;1;0;0;-10;0;0
0;0;0;1;0;0;-10;0
0;0;0;1;0.8999999999999999;0;0;0
1;0;0;0;0;0;0.6000000000000001;0
1;0;2;0;0;0;0;1.6
2;0;1;0;0;0;0;0.0
0;1;0;0;0.10000000000000009;0;0;0
2;1;0;0;0;0;0;-10
2;0;0;1;0;-10;0;0
2;1;0;0;0;0;-10;0
1;0;0;0;0;-10;0;0
0;0;0;1;0;0;-10;0
0;0;0;1;0.5;0;0;0
1;0;0;0;0;0;0;3.5
0;1;0;0;0.9000000000000001;0;0;0
0;0;1;0;0;1.2;0;0
1;0;0;2;0;0;-10;0
2;0;0;1;0;-10;0;0
0;2;1;0;-0.25;0;0;0
2;1;0;0;0;0;-10;0
2;1;0;0;0;0;0;-10
3;2;1;0;0;0;0;-10
1;0;0;0;0;0;1.0;0
0;1;0;0;-0.19999999999999996;0;0;0
0;0;0;1;0;0;-10;0
1;0;2;0;0;0;0;1.9999999999999998
0;0;0;1;0;-10;0;0
1;0;2;3;0;-10;0;0
0;0;1;0;0;-0.3999999999999999;0;0
0;2;1;0;0.10000000000000009;0;0;0
0;0;0;1;0.0;0;0;0
3;2;1;0;0;0;0;-10
2;1;0;0;0;0;-10;0
2;1;0;0;0;0;0;-10
0;0;0;1;0;-10;0;0
1;0;0;0;0;0;1.0;0
0;0;0;1;-0.5;0;0;0
0;1;0;0;0;0;0.30000000000000004;0
0;1;2;0;0;0;0;-1.1
1;0;2;0;0;0;0;2.8
0;1;2;3;-10;0;0;0
1;0;2;3;0;-10;0;0
0;0;1;0;0;0;0;2.8000000000000003
2;0;0;1;0;0;-10;0
